datetime_utc,_conds,dewptm,fog,hail,heatindexm,hum,precipm,pressurem,rain,snow,tempm,thunder,tornado,vism,wdird,wdire,wgustm,windchillm,wspdm
2024-01-02 00:00:00,Clear,12.8,0,0,30.5,56,0.0,1014.0,0,0,31.2,0,0,9.8,300,WNW,10.5,31.8,8.2
2024-01-02 01:00:00,Clear,12.0,0,0,29.8,53,0.0,1013.8,0,0,30.5,0,0,9.5,305,NW,9.8,31.2,7.5
2024-01-02 02:00:00,Clear,11.2,0,0,29.2,50,0.0,1013.6,0,0,29.8,0,0,9.2,310,NW,9.0,30.5,6.8
2024-01-02 03:00:00,Clear,10.5,0,0,28.5,47,0.0,1013.4,0,0,29.2,0,0,8.9,315,NW,8.2,29.9,6.2
2024-01-02 04:00:00,Clear,10.0,0,0,27.8,45,0.0,1013.2,0,0,28.5,0,0,8.6,320,NW,7.5,29.2,5.5
2024-01-02 05:00:00,Clear,9.5,0,0,27.2,43,0.0,1013.0,0,0,27.8,0,0,8.3,325,NW,6.8,28.5,4.8
2024-01-02 06:00:00,Partly Cloudy,10.2,0,0,28.5,46,0.0,1012.8,0,0,29.0,0,0,8.5,330,N,7.5,30.2,5.8
2024-01-02 07:00:00,Partly Cloudy,11.0,0,0,30.2,50,0.0,1012.6,0,0,30.5,0,0,8.8,335,N,8.5,32.0,7.0
2024-01-02 08:00:00,Cloudy,12.5,0,0,32.5,55,2.5,1012.4,1,0,32.0,1,0,6.5,10,N,22.5,32.8,18.5
2024-01-02 09:00:00,Rainy,13.2,0,0,31.8,60,5.0,1012.0,1,0,31.2,1,0,5.0,15,NNE,28.0,31.5,22.0
2024-01-02 10:00:00,Rainy,12.8,0,0,30.5,65,3.5,1011.6,1,0,29.8,1,0,4.5,20,NNE,32.5,29.2,25.5
2024-01-02 11:00:00,Rainy,12.0,0,0,29.2,68,4.2,1011.2,1,0,28.5,0,0,4.0,25,N,30.0,27.8,24.0
2024-01-02 12:00:00,Partly Cloudy,11.5,0,0,28.5,65,2.0,1011.0,1,0,28.0,0,0,5.5,30,NNW,25.0,27.5,19.5
2024-01-02 13:00:00,Partly Cloudy,12.2,0,0,30.2,62,0.5,1011.5,0,0,29.5,0,0,7.5,35,NW,18.5,30.8,14.2
2024-01-02 14:00:00,Sunny,13.0,0,0,31.8,58,0.0,1012.0,0,0,31.0,0,0,9.5,40,NW,12.0,32.5,9.8
2024-01-02 15:00:00,Sunny,13.8,0,0,33.5,55,0.0,1012.5,0,0,32.5,0,0,10.5,45,W,8.5,34.2,6.5
2024-01-02 16:00:00,Sunny,14.5,0,0,35.0,52,0.0,1013.0,0,0,34.0,0,0,11.0,50,W,5.0,35.8,3.8
2024-01-02 17:00:00,Sunny,15.2,0,0,36.5,50,0.0,1013.2,0,0,35.5,0,0,11.2,55,SW,4.2,37.2,3.2
2024-01-02 18:00:00,Partly Cloudy,15.8,0,0,37.2,52,0.0,1013.0,0,0,36.5,0,0,10.8,60,SW,6.0,38.0,4.8
2024-01-02 19:00:00,Partly Cloudy,16.0,0,0,37.0,54,0.0,1012.8,0,0,36.2,0,0,10.2,65,SW,8.5,37.8,6.8
2024-01-02 20:00:00,Cloudy,15.8,0,0,36.5,56,0.0,1012.5,0,0,35.8,0,0,9.5,70,S,10.0,37.2,8.2
2024-01-02 21:00:00,Overcast,15.2,0,0,35.8,58,0.0,1012.2,0,0,34.8,0,0,8.8,75,S,11.5,36.5,9.5
2024-01-02 22:00:00,Overcast,14.5,0,0,34.8,60,0.0,1012.0,0,0,33.8,0,0,8.0,80,S,13.0,35.5,10.8
2024-01-02 23:00:00,Clear,13.8,0,0,34.2,58,0.0,1011.8,0,0,33.0,0,0,7.5,85,S,12.2,34.8,10.0
2024-01-03 00:00:00,Clear,13.0,0,0,33.5,56,0.0,1011.5,0,0,32.2,0,0,7.0,90,E,11.0,33.8,9.0
2024-01-03 01:00:00,Clear,12.2,0,0,32.8,54,0.0,1011.2,0,0,31.5,0,0,7.5,95,E,10.2,33.2,8.2
2024-01-03 02:00:00,Clear,11.5,0,0,32.0,52,0.0,1010.9,0,0,30.8,0,0,8.0,100,E,9.5,32.5,7.5
2024-01-03 03:00:00,Partly Cloudy,11.0,0,0,31.5,51,0.0,1010.6,0,0,30.2,0,0,8.5,105,ESE,8.8,31.9,6.8
2024-01-03 04:00:00,Partly Cloudy,10.8,0,0,31.0,50,0.0,1010.3,0,0,29.8,0,0,9.0,110,ESE,8.0,31.5,6.2
2024-01-03 05:00:00,Cloudy,10.5,0,0,30.5,49,0.0,1010.0,0,0,29.2,0,0,7.5,115,SE,15.5,30.8,12.8
2024-01-03 06:00:00,Cloudy,12.0,0,0,32.2,55,0.0,1009.8,0,0,31.0,0,0,6.0,120,SE,22.0,31.5,18.2
2024-01-03 07:00:00,Rainy,13.5,0,0,33.8,65,3.2,1009.4,1,0,32.2,1,0,4.5,125,SE,28.5,32.0,23.8
2024-01-03 08:00:00,Rainy,13.0,0,0,32.0,68,4.5,1008.8,1,0,30.8,1,0,3.8,130,SE,32.0,30.2,26.5
2024-01-03 09:00:00,Rainy,12.2,0,0,30.5,70,5.0,1008.2,1,0,29.2,0,0,3.5,135,SE,35.5,28.5,29.2
2024-01-03 10:00:00,Thunderstorm,11.5,0,0,28.8,72,6.2,1007.5,1,0,27.8,1,0,2.8,140,SE,42.0,26.5,34.8
2024-01-03 11:00:00,Thunderstorm,10.8,0,0,27.2,75,7.0,1006.8,1,0,26.2,1,0,2.0,145,SE,48.5,25.0,40.2
2024-01-03 12:00:00,Rainy,10.2,0,0,25.8,77,5.5,1007.2,1,0,24.8,0,0,2.5,150,SSE,44.0,23.5,36.5
2024-01-03 13:00:00,Rainy,9.8,0,0,24.5,75,4.0,1007.8,1,0,23.8,0,0,3.2,155,SSE,38.5,22.8,31.8
2024-01-03 14:00:00,Partly Cloudy,10.2,0,0,25.8,72,2.0,1008.5,0,0,25.2,0,0,4.5,160,S,32.0,24.2,26.5
2024-01-03 15:00:00,Partly Cloudy,11.0,0,0,27.2,68,0.5,1009.2,0,0,27.0,0,0,6.0,165,S,25.5,26.2,21.2
2024-01-03 16:00:00,Sunny,12.0,0,0,29.0,65,0.0,1010.0,0,0,29.2,0,0,8.0,170,S,18.0,28.5,14.8
2024-01-03 17:00:00,Sunny,13.2,0,0,31.2,60,0.0,1010.8,0,0,31.8,0,0,9.5,175,S,10.5,31.0,8.5
2024-01-03 18:00:00,Clear,14.5,0,0,33.5,55,0.0,1011.5,0,0,34.2,0,0,10.5,180,S,6.2,33.8,5.0
2024-01-03 19:00:00,Clear,15.2,0,0,34.8,52,0.0,1012.0,0,0,35.8,0,0,10.8,185,S,4.8,35.2,3.8
2024-01-03 20:00:00,Clear,15.8,0,0,36.2,50,0.0,1012.5,0,0,37.0,0,0,11.0,190,S,3.5,36.5,2.8
2024-01-03 21:00:00,Clear,16.0,0,0,37.0,51,0.0,1012.8,0,0,37.8,0,0,11.2,195,SSW,4.2,37.2,3.4
2024-01-03 22:00:00,Clear,15.8,0,0,36.5,53,0.0,1013.0,0,0,37.2,0,0,10.8,200,SSW,5.8,36.8,4.6
2024-01-03 23:00:00,Clear,15.2,0,0,35.8,55,0.0,1013.2,0,0,36.5,0,0,10.2,205,SSW,7.2,36.0,5.8
